,business_id,stars,tokenized_category
0,QXAEGFB4oINsVuTFxEYKFQ,2.5,"['Specialty', 'Food', 'Restaurants', 'Dim', 'Sum', 'Imported', 'Food', 'Food', 'Chinese', 'Ethnic', 'Food', 'Seafood']"
1,68dUKd8_8liJ7in4aWOSEA,2.5,"['Shipping', 'Centers', 'Couriers', 'Delivery', 'Services', 'Local', 'Services', 'Printing', 'Services']"
2,A98xW4qb7vOTguggHFs7Ng,4.0,"['Fitness', 'Instruction', 'Active', 'Life', 'Yoga']"
3,zSpQmEBvRe3IhTUlMSA6HQ,4.0,"['Trainers', 'Health', 'Medical', 'Active', 'Life', 'Physical', 'Therapy', 'Gyms', 'Fitness', 'Instruction']"
4,C9oCPomVP0mtKa8z99E3gg,4.5,"['Bakeries', 'Food']"
5,C9keC4mWuXdl2mYFHZXudQ,5.0,"['Fashion', 'Sporting', 'Goods', 'Men', ""'s"", 'Clothing', 'Shopping', 'Sports', 'Wear']"
6,NDuUMJfrWk52RA-H-OtrpA,3.0,"['Juice', 'Bars', 'Smoothies', 'Food', 'Restaurants', 'Fast', 'Food', 'Vegan']"
7,SP_YXIEwkFPPl_9anCYmpQ,3.5,"['Restaurants', 'Nightlife', 'Breakfast', 'Brunch', 'Vegan', 'Food', 'Tapas', 'Bars', 'Bars', 'Southern', 'Coffee', 'Tea']"
8,mlHC2XcU9Bows6cnYEmRgg,4.0,"['Restaurants', 'Breakfast', 'Brunch', 'Bars', 'Modern', 'European', 'Nightlife', 'Wine', 'Bars']"
9,6l00a9Gkxkcp_y-GPjYBiw,4.5,"['Fish', 'Chips', 'Restaurants']"
10,9UTpmQ4OhX5jNFUIu7dPPQ,4.0,"['Restaurants', 'Korean']"
11,eXgDqKD7-sojyzh6q7PJ4g,4.0,"['Sandwiches', 'Desserts', 'Custom', 'Cakes', 'Bakeries', 'Patisserie', 'Cake', 'Shop', 'Cafes', 'Restaurants', 'Food', 'Breakfast', 'Brunch', 'Coffee', 'Tea']"
12,RFbMVekR8lU9tPJ8sWrwHg,4.0,"['Italian', 'Restaurants']"
13,HBQG_DT8pfbkv8jiv3P6Gw,2.5,"['Shopping', 'Discount', 'Store']"
14,DLaE25PS7bO9ar5rz-zRow,2.5,"['Beauty', 'Spas', 'Nail', 'Salons']"
15,NPHZkn1e-tSJAbo8Zm9rYw,3.5,"['Tex-Mex', 'Mexican', 'Restaurants']"
16,smkZUv_IeYYj_BA6-Po7oQ,3.5,"['Bakeries', 'Food', 'Event', 'Planning', 'Services', 'Desserts']"
17,jtlAfuINMCYVFpjwMgy2jw,4.0,"['Grocery', 'Restaurants', 'Steakhouses', 'Butcher', 'Food']"
18,0-pC3IoaEK5gNVi2Sz6v7w,4.0,"['Nail', 'Salons', 'Beauty', 'Spas']"
19,JAiZVIzhwKgPjncWUedCNQ,3.5,"['Funeral', 'Services', 'Cemeteries', 'Local', 'Services']"
20,gyFYZV4b_9TxG1ulQNi0Ig,2.0,"['Middle', 'Eastern', 'Restaurants', 'Salad', 'Breakfast', 'Brunch']"
21,OezwOIJ0_62Mj8MLdkGRAw,3.5,"['Sandwiches', 'Cafes', 'Food', 'Restaurants', 'Coffee', 'Tea']"
22,aql8K6zVoJDGRJ3P-IgtpQ,4.5,"['Sushi', 'Bars', 'Restaurants']"
23,Kxbn0XLcCgQqmkdIkhuOeQ,4.0,"['Desserts', 'Ice', 'Cream', 'Frozen', 'Yogurt', 'Food', 'Restaurants', 'Vegan']"
24,iedsG4rv8SYY22kGUVDjaw,4.0,"['Chiropractors', 'Health', 'Medical']"
25,1HRSElW1HgBiTtSNrhjMeA,2.0,"['Restaurants', 'Vietnamese']"
26,mruax-1iDdb8GlAKwLy8JQ,3.0,"['Airports', 'Hotels', 'Event', 'Planning', 'Services', 'Hotels', 'Travel', 'Venues', 'Event', 'Spaces']"
27,la2-RM1eWKmb0kFYwZVr_Q,5.0,"['Auto', 'Detailing', 'Car', 'Wash', 'Body', 'Shops', 'Automotive', 'Auto', 'Repair', 'Auto', 'Glass', 'Services']"
28,WlArCYe6xCzOe5u2Lt1how,3.0,"['Pizza', 'Caterers', 'Restaurants', 'Event', 'Planning', 'Services']"
29,c35qzLN6ItDpVIoj2uQW4Q,4.5,"['Soup', 'Restaurants', 'Sandwiches']"
30,jwHtNvHBPafiAwM92jM8yA,4.0,"['Restaurants', 'Pizza']"
31,kGal388xLnmCwI4mw2TG8Q,3.0,"['Food', 'Grocery', 'Convenience', 'Stores']"
32,SvUvVEr9cTjS-PJQ9MuckQ,4.5,"['Restaurants', 'Breakfast', 'Brunch', 'Sandwiches', 'Food', 'Coffee', 'Tea']"
33,RZ48zp2J2SWUy-lZ4PHZrw,5.0,"['Meat', 'Shops', 'Food', 'Specialty', 'Food']"
34,IgQ8lSds3AgLFQsYsshUHQ,3.5,"['Restaurants', 'Mexican', 'Ethnic', 'Food', 'Specialty', 'Food', 'Food']"
35,_FrJLtITs2p8SeOJdSpsQQ,3.5,"['Eyewear', 'Opticians', 'Shopping']"
36,SJBzyJDCR_f6dx5tpYAABA,4.0,"['Sushi', 'Bars', 'Japanese', 'Restaurants']"
37,i6hWP3si97eKQl_JyK8L3w,3.5,"['Hotels', 'Event', 'Planning', 'Services', 'Hotels', 'Travel']"
38,111d13yLgIdqvpZekgVnbQ,3.0,"['Restaurants', 'Caterers', 'Italian', 'Event', 'Planning', 'Services']"
39,6aOnrzf15RMqFNOQ-_ElIA,5.0,"['Chocolatiers', 'Shops', 'Specialty', 'Food', 'Ice', 'Cream', 'Frozen', 'Yogurt', 'Desserts', 'Food']"
40,rVBPQdeayMYht4Uv_FOLHg,3.0,"['Burgers', 'Food', 'Restaurants']"
41,d9ftOq9cPFsicPSasP-IRw,4.0,"['Restaurants', 'Burgers']"
42,VA232TY-ThR8L5wjuuLZVg,3.0,"['Mediterranean', 'Restaurants', 'Middle', 'Eastern', 'Turkish']"
43,NX88XnZQOVbaSVj1exilLA,2.0,"['Specialty', 'Food', 'Food', 'Herbs', 'Spices']"
44,0YkNypUMDoIklcgoGYioMg,3.5,"['Florists', 'Flowers', 'Gifts', 'Baby', 'Gear', 'Furniture', 'Home', 'Garden', 'Shopping']"
45,YOhtdvjmveAtsblep0CQrg,4.0,"['Fitness', 'Instruction', 'Yoga', 'Education', 'Active', 'Life', 'Specialty', 'Schools']"
46,TTVwcuc1Nz4ZSZH4wnbxKQ,3.5,"['Sandwiches', 'Restaurants', 'Pizza', 'Salad']"
47,sRLczTc6OHuttVSanRfHaw,3.5,"['Restaurants', 'Burgers', 'Fast', 'Food']"
48,jZ23B--fu21is2zrWiy4Kg,4.0,"['Pet', 'Groomers', 'Pets', 'Pet', 'Sitting', 'Pet', 'Services']"
49,W3VBN9rTCG0iyAZSafKZ3w,4.0,"['Desserts', 'Food', 'Chocolatiers', 'Shops', 'Specialty', 'Food']"
50,fFKbj19pBWMQosCn9qsTdw,5.0,"['Beauty', 'Spas', 'Hair', 'Salons']"
51,AXq8uPxqBP-c5PCrnba-4A,4.5,"['Mexican', 'Restaurants']"
52,iyPtSR0s6EkvaQFbdJ_jVA,2.5,"['Dim', 'Sum', 'Chinese', 'Tapas', 'Small', 'Plates', 'Restaurants']"
53,bsagBzOdt-JmeuSengyUWA,1.0,"['Handyman', 'Professional', 'Services', 'Electricians', 'Contractors', 'Home', 'Services']"
54,pUihHVilZtpZz4FApnOvtA,4.0,"['Restaurants', 'Middle', 'Eastern']"
55,_72dMXdWbVAgwB-Bxwz-mw,3.5,"['Chinese', 'Restaurants']"
56,1sVIau1rvgec3ul6g7EJag,4.0,"['Mobile', 'Phones', 'Shopping']"
57,F3c8UkGPBEkhvTItCxp7jw,1.5,"['Musical', 'Instrument', 'Services', 'Movers', 'Local', 'Services', 'Self', 'Storage', 'Piano', 'Services', 'Home', 'Services']"
58,vdKUDXI1j89VO65Krg6VGg,4.0,"['Flight', 'Instruction', 'Education', 'Hotels', 'Travel', 'Transportation', 'Specialty', 'Schools', 'Airlines']"
59,Tuu_B0QGo7SQUuXW_Nd4hg,3.0,"['Middle', 'Eastern', 'Pizza', 'Sandwiches', 'Chicken', 'Wings', 'Restaurants']"
60,bIzxwD9L56Gza6swL4eoJQ,3.5,"['Automotive', 'Gas', 'Stations']"
61,yxAw_NtCqtvFPXGq4C1f5A,4.0,['Restaurants']
62,adpp_kxCabWfLPJ4N106nw,3.0,"['Pawn', 'Shops', 'Shopping', 'Jewelry']"
63,pbt-wWuOE2Kp4rvz57Bdvg,3.5,"['Jewelry', 'Shopping']"
64,QZ4GFIArBMGolsVi0XHgcA,3.5,"['Chinese', 'Restaurants', 'Fast', 'Food']"
65,tREKISC21iPORmC24fEpdw,2.5,"['Shopping', 'Electronics']"
66,4MxNo7pH-PRdwik4Hx5Jyw,3.0,"['Yoga', 'Active', 'Life', 'Fitness', 'Instruction']"
67,s6-E2ojR__3CSCsIvVq-xA,1.0,"['Fashion', 'Shopping', 'Men', ""'s"", 'Clothing']"
68,Ykn6eHLY8vPHuUH7UQrvxw,3.0,"['Food', 'Bakeries', 'Coffee', 'Tea']"
69,9MFcLXNi4pbqHsdrH9giZw,3.5,"['Restaurants', 'Filipino', 'Soup', 'Fast', 'Food']"
70,j9YFHVQqxM_qKHIc4nck-A,4.0,"['Hakka', 'Indian', 'Asian', 'Fusion', 'Restaurants', 'Chinese']"
71,zHY31XJfijzjKDM03vJCJA,4.0,"['Shopping', 'Drugstores']"
72,i_0rSAui4zaz4ydVaOZ6bQ,3.5,"['Food', 'Grocery', 'Delis', 'Buffets', 'Event', 'Planning', 'Services', 'Breakfast', 'Brunch', 'Restaurants', 'Caterers']"
73,L6R2Op88NkoG1EGxlVvdRQ,3.0,"['Food', 'Coffee', 'Tea', 'Bakeries', 'Restaurants', 'Cafes']"
74,QfOJ9-nFnV4hlVlndUCMCQ,1.0,"['Home', 'Services', 'Home', 'Cleaning']"
75,BV5aMfFFDOvaWsSS-D5j9g,3.0,"['Restaurants', 'Mediterranean']"
76,mQkVFNSDpD4frPUMycVoWw,4.0,"['Canadian', 'New', 'Wine', 'Bars', 'Italian', 'Restaurants', 'Caterers', 'Bars', 'Nightlife', 'Event', 'Planning', 'Services']"
77,Mq6qiz-Bxgd8VE6tBwCuUg,4.5,"['Restaurants', 'Breakfast', 'Brunch', 'Food', 'Coffee', 'Tea']"
78,cujI9gM6YlQr29cDhTBSAQ,3.0,"['Restaurants', 'Filipino']"
79,EVC1vn1KQ2uETnTbDWXc5w,4.5,"['Caribbean', 'Tapas', 'Small', 'Plates', 'Restaurants']"
80,NX1281ugzs2navHAX5X9cQ,3.0,"['Bubble', 'Tea', 'Food', 'Restaurants', 'Taiwanese', 'Coffee', 'Tea']"
81,43PeF0ERpSIiEbXM6f9N2g,2.5,"['Restaurants', 'Greek', 'Mediterranean', 'Caterers', 'Event', 'Planning', 'Services']"
82,fin8bCrfZ7aCB1pGesvDmw,4.5,"['Shopping', 'Fashion', 'Men', ""'s"", 'Clothing', 'Jewelry', 'Accessories', 'Bridal']"
83,jP5l-EWJcMYUiv1UoQssAg,2.5,"['Fashion', 'Shopping', 'Used', 'Vintage', 'Consignment']"
84,cXBB07Kb2TcAuzJTVo9tZw,3.0,"['Breakfast', 'Brunch', 'Restaurants', 'Canadian', 'New', 'Diners']"
